pid,stno,stname,sttype,suburb,state,postcode,carspaces
928174,3,Parramatta,Road,Annandale,QLD,8482,15
827311,22,Parramatta,Road,Annandale,QLD,8482,3
000003,48,Pyrmont Bridge,Road,Annandale,QLD,7291,1
000002,2,Parramatta,Road,Annandale,QLD,4067,5
000001,41,Pyrmont Bridge,Road,Annandale,QLD,4067,13
654192,72,Durham,Road,Annandale,QLD,8482,6
292741,32,Parramatta,Road,Camperdown,SA,3938,6
281712,74,Parramatta,Road,Camperdown,QLD,8127,1
271649,4,Pyrmont Bridge,Road,Camperdown,SA,5967,7
192817,77,Pyrmont Bridge,Road,Camperdown,QLD,1918,5
182710,2,Pyrmont Bridge,Road,Camperdown,NSW,7461,4
273648,41,Depper,Avenue,Kangaroo Point,SA,1771,1
092831,12,Parramatta,Crescent,Paddington,SA,8373,7
981765,11,Parramatta,Road,Paddington,SA,8374,18
746321,62,Parramatta,Road,Paddington,SA,8375,2
273654,3,Sisley,Crescent,Paddington,SA,8371,6
019284,9,Raven,Avenue,South Brisbane,SA,1090,5
726361,22,Parramatta,Road,West End,NSW,6234,3
765428,18,Pyrmont Bridge,Road,West End,NSW,5231,3
123756,84,Twelfth,Avenue,Woollongabba,NSW,9462,4
,,,,,,,
817194,22,Mitre,Road,Camperdown,QLD,8194,5
717501,8,Durham,Avenue,Camperdown,QLD,4919,1
181751,13,Mitre,Road,Camperdown,QLD,1451,4
410581,4,Brisbane,Road,Camperdown,QLD,1885,1
,,,,,,,
619581,3,Parramatta,Road,Paddington,SA,9184,5
,,,,,,,
738174,13,Parramatta,Avenue,Paddington,QLD,8174,8
194812,41,Parramatta,Court,Annandale,SA,8194,1
192051,2,Parramatta,Road,Annandale,NSW,1059,5
150191,14,Parramatta,Avenue,Paddington,QLD,8174,14
719501,42,Parramatta,Court,Annandale,SA,8194,15
285091,31,Parramatta,Road,Annandale,NSW,1059,12